R_V3	-10.857035	-64.927239	-14.864669
R_V4	-19.416862	-59.066202	-25.270655
R_V8	-22.692674	-51.121060	-28.324011
R_4	-32.302283	-15.621481	38.036591
R_3b	-40.920338	-16.218814	31.054247
R_FEF	-38.355542	3.734116	34.354872
R_PEF	-52.611775	9.619732	21.000319
R_55b	-49.888227	4.199266	29.126503
R_V3A	-11.506499	-69.235979	2.013597
R_RSC	-4.248351	-22.370930	9.784161
R_POS2	-4.535358	-54.948101	13.787504
R_V7	-17.388220	-71.510533	6.328363
R_IPS1	-22.381852	-65.059067	14.444763
R_FFC	-36.323768	-36.088971	-31.812581
R_V3B	-23.623102	-62.351544	-4.901798
R_LO1	-31.685614	-57.329636	-18.876280
R_LO2	-33.798328	-62.344274	-25.555655
R_PIT	-31.125604	-56.383162	-34.070121
R_MT	-39.471908	-49.603188	-13.511420
R_A1	-41.127755	-5.888995	-0.277942
R_PSL	-54.159171	-34.603761	7.127740
R_SFL	-12.132012	14.124390	54.302509
R_PCV	-5.745196	-44.336577	32.052182
R_STV	-56.634852	-33.454691	-1.202512
R_7Pm	-7.816468	-57.541440	26.112279
R_7m	-5.072149	-44.143113	16.096426
R_POS1	-7.205255	-40.761793	-3.709392
R_23d	-6.996016	-14.783083	26.472899
R_v23ab	-5.476848	-37.983409	4.019783
R_d23ab	-4.101534	-28.170326	17.233637
R_31pv	-10.175085	-34.293785	17.364162
R_5m	-12.926006	-38.043083	47.434753
R_5mv	-14.546047	-33.187940	33.839269
R_23c	-13.844828	-21.360700	26.434327
R_5L	-20.699817	-43.348081	46.959612
R_24dd	-9.188329	-13.712878	37.044825
R_24dv	-11.633143	-0.254324	34.042607
R_7AL	-24.554082	-47.173162	38.189116
R_SCEF	-9.871643	2.126144	47.297437
R_6ma	-20.108345	1.250284	55.296454
R_7Am	-9.553426	-54.524526	35.010326
R_7PL	-15.507772	-61.388906	23.568871
R_7PC	-36.946547	-43.471968	32.043521
R_LIPv	-28.938132	-43.953046	26.719528
R_VIP	-21.614382	-57.547276	31.856015
R_MIP	-28.128351	-54.343991	23.399010
R_1	-48.702406	-16.444661	28.396078
R_2	-40.306510	-26.847754	32.278458
R_3a	-40.876370	-9.502797	23.634332
R_6d	-35.667053	-7.521554	45.748921
R_6mp	-17.044298	-16.754998	52.196499
R_6v	-57.694625	6.854030	18.108033
R_p24pr	-6.911587	1.271358	31.718250
R_33pr	-8.662194	12.490285	30.207070
R_a24pr	-15.261405	25.817452	29.423146
R_p32pr	-10.461227	18.008091	34.922871
R_a24	-8.516214	54.483528	11.927523
R_d32	-11.148231	46.385449	32.347061
R_8BM	-11.623098	29.492385	41.967684
R_p32	-12.998959	60.081879	16.905956
R_10r	-12.830123	64.665533	10.027916
R_47m	-30.478390	47.350310	-4.902264
R_8Av	-37.837286	17.462383	44.104643
R_8Ad	-25.802086	30.724986	42.699211
R_9m	-12.140865	55.379980	34.290892
R_8BL	-13.848300	34.722054	50.293348
R_9p	-21.240976	49.940637	44.100418
R_10d	-17.836457	71.593640	27.568473
R_8C	-41.711040	19.541692	31.811781
R_44	-49.651566	26.115131	9.382251
R_45	-49.830889	37.258147	9.120935
R_47l	-42.206672	45.819384	-2.181579
R_a47r	-38.846301	63.061674	3.252010
R_6r	-51.468178	18.627830	14.920052
R_IFJa	-39.016710	22.581648	21.552357
R_IFJp	-40.916539	15.855260	23.011103
R_IFSp	-44.314337	29.930603	23.515979
R_IFSa	-44.206816	41.407920	17.248568
R_p9-46v	-45.564586	33.493790	28.627419
R_46	-39.210351	40.244251	33.163782
R_a9-46v	-39.921341	60.262073	17.577862
R_9-46d	-33.422346	49.495581	31.130964
R_9a	-21.934182	60.443598	35.491080
R_10v	-11.149582	71.123960	4.173476
R_a10p	-28.404505	70.381123	14.065179
R_10pp	-18.085543	76.177220	5.604660
R_11l	-25.764521	61.020962	-1.243159
R_13l	-22.638821	40.198736	-15.155104
R_OFC	-13.651705	47.213603	-12.183415
R_47s	-32.812958	39.967191	-12.085967
R_LIPd	-27.452818	-37.334149	20.814233
R_6a	-26.700204	-0.653059	44.582448
R_i6-8	-35.067478	8.621177	46.323830
R_s6-8	-21.332649	19.130362	47.410166
R_43	-57.668104	15.464285	7.213937
R_OP4	-53.928303	-0.078643	4.609517
R_OP1	-43.965017	-11.214336	7.114834
R_OP2-3	-35.004372	-8.823988	8.186715
R_52	-35.597696	-3.951013	-6.697661
R_RI	-37.665287	-20.102264	4.424201
R_PFcm	-46.396991	-19.824252	8.655041
R_PoI2	-37.260631	11.571798	-1.665835
R_TA2	-50.877614	24.184568	-8.017886
R_FOP4	-40.973822	22.731244	3.047583
R_MI	-35.924135	21.436407	-0.420714
R_Pir	-30.789294	28.078795	-14.512774
R_AVI	-33.898967	34.332190	-0.176375
R_AAIC	-35.145459	28.110511	-8.281501
R_FOP1	-46.824424	11.007016	1.348340
R_FOP3	-37.787741	13.458010	7.957469
R_FOP2	-39.309173	4.051227	7.886518
R_PFt	-56.237073	-23.287639	24.550267
